Order Date,Brand,Sneaker Name,Sale Price,Retail Price,Release Date,Shoe Size,Buyer Region,Gain/Loss
9/7/17,Off-White,Nike-Air-Max-90-Off-White,1600,160,9/9/17,8.0,California,1440
9/7/17,Off-White,Nike-Air-Max-90-Off-White,1090,160,9/9/17,11.5,New York,930
9/7/17,Off-White,Nike-Air-Presto-Off-White,1344,160,9/9/17,10.0,New York,1184
9/7/17,Off-White,Nike-Air-Presto-Off-White,1325,160,9/9/17,10.0,Massachusetts,1165
9/7/17,Off-White,Nike-Air-VaporMax-Off-White,1800,250,9/9/17,12.0,Kentucky,1550
9/8/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2450,190,9/9/17,13.0,New York,2260
9/8/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2325,190,9/9/17,12.0,Illinois,2135
9/8/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,11.0,New Jersey,690
9/8/17,Off-White,Nike-Air-Presto-Off-White,1299,160,9/9/17,11.0,Colorado,1139
9/8/17,Off-White,Nike-Air-VaporMax-Off-White,2399,250,9/9/17,11.5,Kentucky,2149
9/8/17,Off-White,Nike-Blazer-Mid-Off-White,720,130,9/9/17,9.0,New York,590
9/8/17,Off-White,Nike-Blazer-Mid-Off-White,750,130,9/9/17,10.5,Florida,620
9/9/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2799,190,9/9/17,10.5,Massachusetts,2609
9/9/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2550,190,9/9/17,10.0,Delaware,2360
9/9/17,Off-White,Nike-Air-Max-90-Off-White,949,160,9/9/17,11.5,New York,789
9/9/17,Off-White,Nike-Air-Max-90-Off-White,1100,160,9/9/17,9.5,New Jersey,940
9/9/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,10.0,Virginia,690
9/9/17,Off-White,Nike-Air-Presto-Off-White,1299,160,9/9/17,10.0,New Jersey,1139
9/9/17,Off-White,Nike-Blazer-Mid-Off-White,680,130,9/9/17,10.0,New Jersey,550
9/10/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2100,190,9/9/17,10.0,New York,1910
9/10/17,Off-White,Nike-Air-Max-90-Off-White,965,160,9/9/17,9.0,California,805
9/10/17,Off-White,Nike-Air-Max-90-Off-White,940,160,9/9/17,8.0,New York,780
9/10/17,Off-White,Nike-Air-Presto-Off-White,1329,160,9/9/17,9.0,California,1169
9/10/17,Off-White,Nike-Air-Presto-Off-White,1270,160,9/9/17,9.0,New York,1110
9/10/17,Off-White,Nike-Air-Presto-Off-White,1190,160,9/9/17,10.0,New Jersey,1030
9/10/17,Off-White,Nike-Air-Presto-Off-White,1300,160,9/9/17,11.0,Florida,1140
9/10/17,Off-White,Nike-Air-VaporMax-Off-White,1200,250,9/9/17,10.5,Ohio,950
9/10/17,Off-White,Nike-Blazer-Mid-Off-White,930,130,9/9/17,13.0,Massachusetts,800
9/10/17,Off-White,Nike-Blazer-Mid-Off-White,734,130,9/9/17,10.0,Oregon,604
9/11/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2140,190,9/9/17,12.0,South Carolina,1950
9/11/17,Off-White,Nike-Air-Max-90-Off-White,830,160,9/9/17,10.0,California,670
9/11/17,Off-White,Nike-Air-Max-90-Off-White,820,160,9/9/17,11.0,California,660
9/11/17,Off-White,Nike-Air-Presto-Off-White,1700,160,9/9/17,13.0,New York,1540
9/11/17,Off-White,Nike-Air-Presto-Off-White,1239,160,9/9/17,10.0,Illinois,1079
9/11/17,Off-White,Nike-Air-Presto-Off-White,1150,160,9/9/17,10.0,New Jersey,990
9/11/17,Off-White,Nike-Air-VaporMax-Off-White,1269,250,9/9/17,8.0,California,1019
9/11/17,Off-White,Nike-Air-VaporMax-Off-White,1300,250,9/9/17,6.0,Illinois,1050
9/11/17,Off-White,Nike-Air-VaporMax-Off-White,1135,250,9/9/17,10.0,New Jersey,885
9/11/17,Off-White,Nike-Blazer-Mid-Off-White,770,130,9/9/17,12.0,California,640
9/11/17,Off-White,Nike-Blazer-Mid-Off-White,735,130,9/9/17,9.0,Oregon,605
9/11/17,Off-White,Nike-Blazer-Mid-Off-White,556,130,9/9/17,10.5,Ohio,426
9/11/17,Off-White,Nike-Blazer-Mid-Off-White,620,130,9/9/17,10.0,New York,490
9/12/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1907,190,9/9/17,10.5,Illinois,1717
9/12/17,Off-White,Nike-Air-Max-90-Off-White,840,160,9/9/17,11.0,Florida,680
9/12/17,Off-White,Nike-Air-Max-90-Off-White,920,160,9/9/17,8.5,Nevada,760
9/12/17,Off-White,Nike-Air-Max-90-Off-White,850,160,9/9/17,12.0,New York,690
9/12/17,Off-White,Nike-Air-Presto-Off-White,1200,160,9/9/17,10.0,Arizona,1040
9/12/17,Off-White,Nike-Air-VaporMax-Off-White,1100,250,9/9/17,10.5,California,850
9/12/17,Off-White,Nike-Air-VaporMax-Off-White,1200,250,9/9/17,9.5,Texas,950
9/12/17,Off-White,Nike-Blazer-Mid-Off-White,645,130,9/9/17,12.0,New York,515
9/12/17,Off-White,Nike-Blazer-Mid-Off-White,600,130,9/9/17,8.5,Florida,470
9/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2100,190,9/9/17,10.0,Ohio,1910
9/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1900,190,9/9/17,10.5,Ohio,1710
9/13/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,2000,190,9/9/17,10.5,New York,1810
9/13/17,Off-White,Nike-Air-Max-90-Off-White,890,160,9/9/17,9.0,California,730
9/13/17,Off-White,Nike-Air-Presto-Off-White,1050,160,9/9/17,8.0,Wisconsin,890
9/13/17,Off-White,Nike-Air-Presto-Off-White,1190,160,9/9/17,8.0,Rhode Island,1030
9/13/17,Off-White,Nike-Air-VaporMax-Off-White,990,250,9/9/17,9.0,Nevada,740
9/13/17,Off-White,Nike-Air-VaporMax-Off-White,1070,250,9/9/17,10.0,California,820
9/13/17,Off-White,Nike-Blazer-Mid-Off-White,700,130,9/9/17,12.0,Ohio,570
9/13/17,Off-White,Nike-Blazer-Mid-Off-White,670,130,9/9/17,9.5,Connecticut,540
9/14/17,Off-White,Air-Jordan-1-Retro-High-Off-White-Chicago,1700,190,9/9/17,10.0,Michigan,1510
